date,prediction,real_price
2022/08/20,24423.671875,21166.1
2022/08/21,24318.884765625,21534.1
2022/08/22,24136.58984375,21398.9
2022/08/23,23882.890625,21528.1
2022/08/24,23335.578125,21395.0
2022/08/25,23212.27734375,21600.9
2022/08/26,20877.150390625,20260.0
2022/08/27,21165.65234375,20041.7
2022/08/28,21533.662109375,19616.8
2022/08/29,21398.447265625,20298.0
2022/08/30,21527.646484375,19796.8
2022/08/31,21394.544921875,20049.8
2022/09/01,21600.451171875,20127.1
2022/09/02,20259.533203125,19969.8
2022/09/03,20041.23046875,19832.1
2022/09/04,19616.31640625,19986.7
2022/09/05,20297.54296875,19812.4
2022/09/06,19796.349609375,18837.7
2022/09/07,20049.37109375,19290.3
2022/09/08,20126.662109375,19329.8
2022/09/09,19969.361328125,21381.2
2022/09/10,19831.658203125,21680.5
2022/09/11,19986.26171875,21769.3
2022/09/12,19811.962890625,22370.4
2022/09/13,18837.2578125,20296.7
2022/09/14,19289.865234375,20241.1
2022/09/15,19329.353515625,19701.2
2022/09/16,21380.775390625,19772.6
2022/09/17,21680.080078125,20127.6
2022/09/18,21768.875,19419.5
2022/09/19,22369.990234375,19544.1
2022/09/20,20296.267578125,18890.8
2022/09/21,20240.681640625,18547.4
2022/09/22,19700.775390625,19413.6
2022/09/23,19772.17578125,19297.6
2022/09/24,20127.177734375,18937.0
2022/09/25,19419.068359375,18802.1
2022/09/26,19543.6796875,19222.7
2022/09/27,18890.373046875,19110.6
2022/09/28,18546.96484375,19426.7
2022/09/29,19413.193359375,19573.1
2022/09/30,19297.19140625,19431.8
2022/10/01,18936.587890625,19312.1
2022/10/02,18801.69921875,19044.1
2022/10/03,19222.296875,19623.6
2022/10/04,19110.17578125,20336.8
2022/10/05,19426.283203125,20160.7
2022/10/06,19572.68359375,19955.4
2022/10/07,19431.384765625,19546.8
2022/10/08,19311.681640625,19416.6
2022/10/09,19043.666015625,19446.4
2022/10/10,19623.15625,19141.5
2022/10/11,20336.365234375,19051.4
2022/10/12,20160.259765625,19157.4
2022/10/13,19954.951171875,19382.9
